mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ONE_HOT,700,50,64,128,24,2,True,1,2,128,2,116,0.7629930632077737,0.5901101859508106,0.5,0.027950310559006212
LoadMode.MOST_COMMON_ONLY,700,50,64,128,24,2,True,1,2,128,2,116,0.692953923436175,0.6849777897428995,0.5023328149300156,0.2391304347826087
LoadMode.MOST_COMMON_ONLY,700,50,64,128,24,2,True,1,2,128,2,116,0.627590757046676,0.6136222910216718,0.0,0.0
LoadMode.MOST_COMMON_ONLY,700,50,64,128,24,2,True,1,2,128,2,116,0.5578792848083787,0.49067939575185954,0.0,0.0
LoadMode.MOST_COMMON_ONLY,700,50,64,128,24,2,True,1,2,128,2,116,0.7101956509692284,0.39879430032882723,0.0,0.0
LoadMode.SMALL_ALPHABET,700,50,64,128,24,2,True,1,2,128,2,81,0.559665352174112,0.6241486068111455,0.0,0.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,24,2,True,1,2,128,2,39,0.5621234744974755,0.7746130030959752,0.0,0.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,24,2,True,1,2,128,2,39,0.6855954497377467,0.6365325077399382,0.0,0.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,24,2,True,1,2,512,2,39,0.5714856057194033,0.6959752321981425,0.0,0.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,24,2,True,1,2,128,2,39,0.7275556056084238,0.595046439628483,0.0,0.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,24,2,True,1,2,128,2,39,0.6595962118610379,0.6551083591331269,0.0,0.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,24,2,True,1,2,128,2,39,0.7076861819942515,0.6359133126934984,0.0,0.0
5,700,40,64,128,2,True,24,1,2,128,2,39,0.702239492215534,0.6550123592419664,0.32608695652173914,0.045454545454545456
5,700,70,64,128,2,True,24,1,2,128,2,39,0.6712833680398662,0.6885993485342019,0.0,0.0
